Karte;Kennzeichen;Fahrer;km-Stand;Lieferdatum;Lieferzeit;Beleg-Nr;Erfassungsart;Land;SST;Name;Warenart;Menge;Preis;Betrag;Nachlass incl. USt;Fee incl. USt;Wert incl. USt;;Wert incl. USt;;USt;Betrag USt;Nachlass excl. USt;Fee excl. USt;Wert excl. USt;;Wert excl. USt;;Rechnung;Kostenstelle;
 
Abrechnung:;28.02.2018;(erstellt 06.03.2018 09:14 )
Kunde;760756;TALKE POLSKA SP. Z O.O.
 
704310 760756 05222;DW 837LT;;0000000;12.12.2017;00:00;VSFA1802931;;010;1015 108;HERENTALS;008W Serwis napraw Dostawa towarów;0,00;0,0000;500,42;0,00;0,00;512,93;EUR;512,93;EUR;21%;89,02;0,00;10,34;423,91;EUR;0,00;EUR;0000606030003001;
704310 760756 05057;WPIYE20;;0739654;24.02.2018;13:08;0038110353;2;010;1003 377;RECOGNE;0009 ON;70,00;1,3980;97,86;0,00;0,00;99,98;EUR;99,98;EUR;21%;17,35;0,70;2,45;82,63;EUR;0,00;EUR;0000606030003001;
704310 760756 05081;WPIYE16;;0000000;28.02.2018;18:07;0012508751;1;024;2426 332;CZ;006A Op?aty drogowe CZ-Prepay;0,00;0,0000;5000,00;0,00;0,00;5000,00;CZK;208,46;EUR;0%;0,00;0,00;0,00;5000,00;CZK;0,00;EUR;0000606030003002;
704310 760756 05719;WPINK 99;;0000000;26.02.2018;04:48;0012497386;1;024;2426 369;CZ;006A Op?aty drogowe CZ-Prepay;0,00;0,0000;1500,00;0,00;0,00;1500,00;CZK;62,60;EUR;0%;0,00;0,00;0,00;1500,00;CZK;0,00;EUR;0000606030003002;
704310 760756 04951;WPIVR47;;0000000;28.02.2018;12:06;0012507333;1;024;2426 300;KRASNY;006A Op?aty drogowe CZ-Prepay;0,00;0,0000;1000,00;0,00;0,00;1000,00;CZK;41,69;EUR;0%;0,00;0,00;0,00;1000,00;CZK;0,00;EUR;0000606030003002;
704310 760756 05040;WPIYE12;;0000000;22.02.2018;08:15;0012486642;1;024;2426 217;CZ;006A Op?aty drogowe CZ-Prepay;0,00;0,0000;1000,00;0,00;0,00;1000,00;CZK;41,87;EUR;0%;0,00;0,00;0,00;1000,00;CZK;0,00;EUR;0000606030003002;
704310 760756 05123;WPI NK65;;0665884;19.02.2018;12:41;227260;1;024;2404 079;VRAZNE;0080 AKCESORIA;0,00;0,0000;299,00;0,00;0,00;306,48;CZK;12,84;EUR;21%;53,19;0,00;6,18;253,29;CZK;0,00;EUR;0000606030003003;
704310 760756 05248;DW 341LT;;0898765;17.02.2018;09:39;009495;1;000;0004 047;DIEMELSTAD;0009 ON;485,01;1,2490;605,78;0,00;0,00;610,83;EUR;610,83;EUR;19%;97,53;0,00;4,24;513,30;EUR;0,00;EUR;0000606030003004;
704310 760756 05065;WPIYE19;;0000666;17.02.2018;13:43;004785;1;000;0004 082;BREISGAU-O;0009 ON;290,19;1,4290;414,68;0,00;0,00;418,13;EUR;418,13;EUR;19%;66,76;0,00;2,90;351,37;EUR;0,00;EUR;0000606030003004;
704310 760756 05156;DW 523LY;;0000123;21.02.2018;19:29;0000055117;1;000;0105 109;KÖLN;0009 ON;59,80;1,1040;66,02;0,00;0,00;66,57;EUR;66,57;EUR;19%;10,63;0,00;0,46;55,94;EUR;0,00;EUR;0000606030003004;
704310 760756 04951;WPIVR47;;0000000;17.02.2018;12:42;003007;1;000;0004 796;SINSHEIM;0096 SMARY;0,00;0,0000;61,99;0,00;0,00;63,53;EUR;63,53;EUR;19%;10,14;0,00;1,30;53,39;EUR;0,00;EUR;0000606030003004;
704310 760756 04951;WPIVR47;;0000000;17.02.2018;12:42;003007;1;000;0004 796;SINSHEIM;0080 AKCESORIA;0,00;0,0000;22,99;0,00;0,00;23,56;EUR;23,56;EUR;19%;3,76;0,00;0,48;19,80;EUR;0,00;EUR;0000606030003004;
704310 760756 05420;DW8C373;;0000005;17.02.2018;19:30;00012085;1;000;0010 550;PEGNITZ;0064 ZABEZPIECZENIE CHLODNI;0,00;0,0000;19,99;0,00;0,00;20,49;EUR;20,49;EUR;19%;3,27;0,00;0,42;17,22;EUR;0,00;EUR;0000606030003004;
